,Cell,MSE,Passed,MAPE
2455,BOKER17L,64.81,0.000000,6.14
2439,BOKER27L,177.60,0.000000,9.40
825,BOKER77L,382.95,0.000000,17.05
1224,BOKOY11L,35.02,0.000000,3.98
1914,BOKOY12L,78.29,0.000000,6.32
2531,BOKOY13L,58.24,0.000000,5.85
2836,BOKOY14L,122.69,0.004011,6.21
1835,BOKOY17L,131.08,0.000000,7.81
1912,BOKOY21L,14.00,0.000000,2.41
1235,BOKOY31L,18.95,0.008018,2.88
587,BOKOY32L,86.90,0.008048,6.34
2089,BOKOY33L,70.65,0.008048,6.51
2848,BOKOY34L,57.24,0.000000,5.42
4089,BOKOY37L,50.77,0.000000,5.69
2716,BOKOYA2L,40.17,0.000000,4.44
29,BOKOYA3L,68.58,0.000000,5.58
2648,BOKOYA4L,44.39,0.002043,5.12
1438,BOKOYA7L,29.22,0.000000,3.80
904,BOKOYB2L,42.28,0.000997,3.72
595,BOKOYB3L,27.07,0.008047,3.62
221,BOKOYB4L,18.24,0.000997,2.59
93,BOKOYB7L,9.26,0.000997,2.11
4467,BOMCA11L,1.33,0.000000,0.86
4322,BOMCA12L,9.40,0.002046,1.54
3013,BOMCA13L,3.56,0.000000,1.41
2773,BOMCA17L,25.04,0.000000,1.44
518,BOMCA21L,0.67,0.000000,0.64
3528,BOMCA22L,0.26,0.000000,0.42
225,BOMCA23L,0.73,0.001995,0.69
2814,BOMCA27L,0.19,0.004021,0.34
761,BOMCA31L,21.90,0.002013,3.17
1896,BOMCA32L,14.79,0.000000,2.86
3859,BOMCA33L,46.72,0.000000,4.81
4773,BOMCA37L,46.81,0.000000,5.86
4932,BOMEY11L,23.81,0.000000,2.93
3210,BOMEY12L,32.53,0.002014,4.34
4109,BOMEY13L,13.21,0.000000,2.56
129,BOMEY14L,38.53,0.000000,3.69
2170,BOMEY17L,42.23,0.002023,4.02
5054,BOMEY21L,50.93,0.001994,4.25
1660,BOMEY22L,82.11,0.000000,7.07
360,BOMEY23L,59.40,0.000000,5.55
4708,BOMEY24L,27.50,0.000000,3.05
3004,BOMEY27L,33.69,0.008020,4.32
2184,BOMEY31L,28.20,0.000000,3.64
3963,BOMEY32L,31.87,0.000000,4.16
2629,BOMEY33L,17.63,0.000000,2.68
1718,BOMEY34L,20.41,0.000000,3.23
4957,BOMEY37L,33.17,0.008144,4.31
4937,BOMLA11L,6.97,0.000000,1.88
4939,BOMLA12L,193.95,0.008018,3.86
336,BOMLA17L,10.62,0.000998,2.67
5065,BOMLA21L,11.45,0.008014,2.12
4499,BOMLA22L,12.67,0.000000,2.47
3366,BOMLA27L,3.17,0.002037,1.10
4814,BOMLA31L,14.56,0.008049,2.96
208,BOMLA32L,59.24,0.000997,5.05
1654,BOMLA37L,30.97,0.000000,4.46
4539,BOMOV11L,1.64,0.000000,0.87
3396,BOMOV12L,7.49,0.008020,1.83
3032,BOMOV13L,2.92,0.000997,1.31
2049,BOMOV17L,11.33,0.008031,1.88
1415,BOMOV21L,34.32,0.002041,3.84
1572,BOMOV22L,55.51,0.000000,5.70
2581,BOMOV31L,5.25,0.000000,1.58
2218,BOMOV32L,8.96,0.000000,2.16
2891,BOMOV33L,19.10,0.000000,3.02
1372,BOMOV37L,3.56,0.000000,1.37
2555,BOMUM11L,10.11,0.000000,2.11
3604,BOMUM12L,0.98,0.000000,0.75
2423,BOMUM13L,16.20,0.000000,1.13
965,BOMUM14L,38.38,0.008033,4.36
3625,BOMUM15L,27.33,0.000000,3.99
1556,BOMUM17L,37.33,0.000000,4.69
2919,BOMUM21L,1.17,0.001995,0.90
4869,BOMUM24L,1.67,0.000000,0.92
4028,BOMUM25L,3.37,0.000000,1.12
3447,BOMUM31L,4.09,0.000000,1.64
3761,BOMUM32L,16.65,0.002044,2.92
4064,BOMUM33L,17.53,0.000000,3.13
4258,BOMUM34L,25.14,0.000000,2.74
2374,BOMUM35L,31.09,0.001995,2.24
4465,BOMUM37L,12.45,0.000000,2.71
3119,BOMUMA2L,61.75,0.000000,6.32
3726,BOMUMA3L,25.60,0.000000,4.02
4126,BOMUMA7L,81.61,0.000000,6.56
1459,BOMUMB2L,39.04,0.000000,4.99
3477,BOMUMB3L,2.76,0.000000,1.49
2780,BOMUMB7L,22.21,0.000000,3.66
1022,BOMUMC2L,84.62,0.000000,5.65
1513,BOMUMC3L,15.97,0.000000,2.85
4987,BOMUMC7L,123.44,0.000000,4.73
4952,BOMUMD2L,38.45,0.002049,4.82
2958,BOMUMD3L,43.21,0.000000,5.96
2895,BOMUMD7L,18.78,0.001995,2.70
4718,BOPAK17L,161.17,0.000000,8.31
3345,BOPAK27L,262.77,0.000997,12.56
1860,BOPAK37L,327.15,0.000041,11.56
2228,BOPAK77L,139.50,0.008015,8.71
4984,BOSAD17L,127.75,0.000000,8.05
1051,BOSAD27L,48.27,0.000000,5.20
4507,BOSAD37L,32.71,0.000000,4.18
4633,BOSAT11L,23.59,0.000000,3.48
3166,BOSAT12L,38.65,0.002018,3.33
4414,BOSAT13L,74.82,0.008020,5.67
4451,BOSAT14L,16.98,0.000000,3.19
3455,BOSAT17L,141.18,0.000000,6.53
3540,BOSAT21L,22.04,0.000000,2.85
5032,BOSAT22L,44.67,0.000997,4.78
341,BOSAT23L,36.10,0.000000,4.51
2547,BOSAT24L,14.59,0.000000,2.79
3135,BOSAT27L,26.69,0.000000,2.86
844,BOSAT31L,6.95,0.002045,2.01
4812,BOSAT32L,79.89,0.000000,6.95
3601,BOSAT33L,119.95,0.000000,7.86
4805,BOSAT37L,93.70,0.000000,6.70
3333,BOSET12L,81.24,0.002017,6.88
3189,BOSET13L,107.06,0.000000,7.32
2244,BOSET14L,64.17,0.000000,5.81
2591,BOSET17L,125.80,0.002033,7.97
3031,BOSET22L,83.97,0.000000,6.78
1889,BOSET23L,103.28,0.000000,7.70
2055,BOSET24L,36.39,0.008049,4.49
4247,BOSET27L,222.45,0.000000,9.77
1056,BOSEV17L,54.51,0.000007,4.29
3557,BOSEV27L,19.99,0.008019,3.16
759,BOSEV37L,110.84,0.000000,7.80
4124,BOSIV12L,29.02,0.008061,3.92
1514,BOSIV13L,69.45,0.000000,6.47
766,BOSIV17L,59.47,0.000000,5.18
4675,BOSIV22L,100.12,0.000000,7.03
3036,BOSIV27L,27.37,0.002045,3.98
3855,BOSIV77L,414.36,0.000000,15.87
1043,BOSME11L,3.72,0.002043,1.37
1393,BOSME21L,22.30,0.000000,3.52
5119,BOSME31L,41.47,0.008031,4.79
1981,BOSME32L,263.73,0.008050,10.23
2303,BOSME33L,167.44,0.000041,8.07
876,BOSME37L,38.73,0.002012,4.99
1925,BOSPH11L,7.47,0.000000,2.10
4662,BOSPH12L,91.11,0.000978,6.86
755,BOSPH13L,92.19,0.000998,7.01
420,BOSPH14L,78.07,0.000000,6.12
1083,BOSPH17L,23.69,0.000000,3.79
1909,BOSPH21L,177.46,0.000000,7.10
2385,BOSPH22L,126.13,0.000000,9.02
2586,BOSPH23L,471.39,0.000000,14.92
213,BOSPH27L,183.44,0.001994,8.09
5038,BOSPH77L,555.67,0.008016,19.53
2740,BOSPZ11L,9.32,0.000000,2.27
349,BOSPZ12L,9.17,0.008015,2.26
4480,BOSPZ13L,27.65,0.000000,4.03
3443,BOSPZ21L,9.56,0.000000,2.15
4177,BOSPZ22L,44.18,0.000000,4.22
2893,BOSPZ23L,30.97,0.008084,4.14
4259,BOSPZ31L,6.32,0.000000,1.89
1192,BOSPZ32L,16.00,0.000000,3.10
3808,BOSPZ33L,25.09,0.000000,4.10
2418,BOSTD17L,78.04,0.000000,6.50
1774,BOSTD27L,27.97,0.000000,3.68
1068,BOSTD37L,116.42,0.008039,8.37
2115,BOSYU17L,51.20,0.000000,5.57
4867,BOSYU27L,17.09,0.000000,2.93
2433,BOSYU37L,67.75,0.000000,6.47
1839,BOTAN11L,30.29,0.000000,3.82
1548,BOTAN12L,74.75,0.000000,6.13
1374,BOTAN13L,91.01,0.000000,5.85
1253,BOTAN17L,58.99,0.000000,5.81
1712,BOTAN21L,10.86,0.000000,2.15
2021,BOTAN22L,47.22,0.000000,5.26
4961,BOTAN23L,30.03,0.000000,4.50
3073,BOTAN27L,75.22,0.002018,6.66
3500,BOTANA7L,304.43,0.000000,13.02
1468,BOTOR11L,20.53,0.000000,3.42
3453,BOTOR12L,70.53,0.000997,6.43
4861,BOTOR13L,65.58,0.000000,5.89
3571,BOTOR14L,65.00,0.000000,5.07
4035,BOTOR17L,77.79,0.000000,6.22
1515,BOTOR21L,122.74,0.000000,8.09
801,BOTOR22L,206.19,0.000000,10.79
1112,BOTOR23L,116.76,0.000000,8.23
4941,BOTOR24L,215.04,0.000000,11.04
2831,BOTOR27L,222.59,0.000000,8.93
4320,BOTUS11L,14.12,0.000000,2.19
2524,BOTUS12L,56.02,0.000000,4.63
4383,BOTUS13L,30.74,0.002043,4.21
3169,BOTUS17L,44.01,0.000000,4.93
3622,BOTUS21L,4.71,0.000000,1.58
