,Cell,MSE,Passed,MAPE
408,BOSEV37L,107.36,0.000000,7.94
3734,BOSIV12L,33.27,0.000000,4.39
2182,BOSIV13L,65.57,0.000000,6.42
1585,BOSIV17L,51.92,0.000000,5.31
5127,BOSIV22L,96.22,0.000000,6.97
1643,BOSIV27L,29.57,0.000000,4.19
1719,BOSIV77L,414.63,0.002016,15.42
4990,BOSME11L,3.69,0.000000,1.40
2589,BOSME21L,20.18,0.000000,3.36
3559,BOSME31L,40.74,0.000000,5.11
2066,BOSME32L,250.18,0.000000,11.04
3795,BOSME33L,152.94,0.000000,8.28
2212,BOSME37L,36.67,0.000000,5.00
1208,BOSPH11L,7.03,0.000000,2.04
1879,BOSPH12L,89.24,0.000000,6.76
4941,BOSPH13L,88.46,0.000000,7.17
1033,BOSPH14L,79.49,0.008024,6.45
4886,BOSPH17L,24.05,0.002048,3.94
1176,BOSPH21L,158.92,0.002017,7.18
1754,BOSPH22L,152.00,0.000000,10.12
361,BOSPH23L,382.15,0.000000,13.51
2257,BOSPH27L,166.68,0.008038,8.16
2511,BOSPH77L,488.05,0.008021,18.89
