,Cell,MSE,Passed,MAPE
4781,ALBPZ31L,19.99,0.000000,3.11
4479,ALBPZ37L,79.28,0.000000,7.38
3407,ALBTK12L,272.53,0.010036,13.33
4658,ALBTK13L,230.97,0.001994,10.00
494,ALBTK17L,181.33,0.020261,10.04
3891,ALBTK22L,134.56,0.010020,9.24
956,ALBTK23L,104.00,0.004985,8.29
2706,ALBTK27L,250.15,0.001994,12.14
4161,ALBTK32L,184.09,0.001992,9.69
3434,ALBTK33L,150.39,0.000000,9.94
42,ALBTK37L,323.93,0.000997,13.92
1051,ALCCA11L,80.35,0.000997,6.51
5112,ALCCA12L,203.71,0.002013,11.30
2157,ALCCA13L,181.01,0.002993,7.84
921,ALCCA16L,48.90,0.002996,6.03
565,ALCCA17L,102.06,0.001995,7.82
1459,ALCCA22L,240.18,0.007520,12.36
2250,ALCCA23L,171.57,0.001995,9.62
3993,ALCCA26L,41.76,0.000997,5.74
4854,ALCCA27L,79.48,0.001994,6.44
4380,ALCCA37L,128.23,0.002992,9.29
4021,ALCGI12L,255.09,0.000997,12.97
2389,ALCGI13L,485.14,0.000997,12.13
692,ALCGI16L,119.88,0.003990,8.33
4415,ALCGI17L,110.16,0.000000,8.61
681,ALCGI22L,359.51,0.003988,14.89
2189,ALCGI23L,325.54,0.000997,12.60
4047,ALCGI26L,301.91,0.008976,14.46
503,ALCGI27L,278.40,0.000994,13.51
3751,ALCGI32L,163.04,0.000000,9.84
4032,ALCGI33L,114.06,0.000996,8.55
3406,ALCGI36L,357.08,0.000000,16.80
3101,ALCGI37L,282.37,0.002009,13.07
2901,ALCHA11L,38.64,0.001995,4.45
3929,ALCHA12L,143.17,0.018075,9.17
441,ALCHA13L,88.13,0.004986,7.56
1625,ALCHA17L,141.87,0.001990,9.13
566,ALCHA22L,516.83,0.000000,20.49
2553,ALCHA23L,89.56,0.002992,7.21
1972,ALCHA27L,117.41,0.000996,8.53
686,ALCHA31L,68.35,0.017952,6.08
1431,ALCHA32L,119.92,0.009173,8.53
109,ALCHA33L,93.07,0.003989,6.76
3779,ALCHA34L,104.40,0.000000,7.21
2413,ALCHA37L,216.43,0.000000,11.42
3612,ALCTR12L,85.76,0.000991,7.45
3483,ALCTR13L,75.79,0.001995,6.83
1206,ALCTR14L,152.83,0.002046,9.61
2969,ALCTR16L,62.11,0.000997,6.36
3802,ALCTR17L,56.30,0.002040,5.86
4163,ALCTR21L,37.21,0.007978,4.35
1252,ALCTR22L,113.94,0.000998,8.13
1660,ALCTR23L,96.10,0.000000,7.29
