,Cell,MSE,Passed,MAPE
446,BODGI11L,39.07,0.002019,5.16
60,BODGI12L,170.34,0.002041,9.68
4511,BODGI13L,179.11,0.000000,9.89
5006,BODGI17L,92.46,0.000000,7.46
2987,BODGI21L,14.32,0.002019,2.93
5042,BODGI27L,36.79,0.000000,4.79
4475,BODGI31L,129.53,0.002040,9.82
3573,BODGI32L,196.55,0.003959,10.84
1334,BODGI33L,218.60,0.001057,11.56
2256,BODGI37L,95.26,0.000000,7.45
517,BODGU11L,32.66,0.000000,4.19
4204,BODGU21L,32.49,0.002018,3.94
3164,BODGU31L,29.38,0.002016,3.43
3802,BODGU32L,269.56,0.002044,11.60
541,BODGU33L,83.22,0.000000,7.09
4171,BODGU37L,367.55,0.003024,10.88
1598,BODGUA2L,196.06,0.000000,10.38
3360,BODGUA3L,212.16,0.000000,10.57
337,BODGUA4L,144.66,0.000000,8.94
5136,BODGUA7L,88.13,0.000000,7.59
91,BODGUB2L,36.04,0.002010,4.87
1840,BODGUB3L,64.61,0.000000,5.97
1716,BODGUB4L,128.08,0.000000,8.61
3491,BODGUB7L,33.82,0.000000,4.48
2752,BODGUC2L,35.08,0.000000,4.09
2228,BODGUC3L,23.94,0.000000,3.63
2247,BODGUC4L,57.07,0.002014,6.45
1963,BODGUC5L,30.69,0.008026,4.57
5026,BODGUC7L,42.52,0.000000,5.52
1236,BODGUD2L,94.79,0.002018,7.59
157,BODGUD3L,83.14,0.000000,7.89
3722,BODGUD4L,209.74,0.000997,9.49
1422,BODGUD5L,38.53,0.000000,4.86
1185,BODGUD7L,13.65,0.000000,3.01
4120,BODIK17L,18.03,0.000994,3.35
2323,BODIK22L,298.65,0.000000,11.41
3579,BODIK23L,74.93,0.002011,4.85
4837,BODIK24L,379.44,0.000000,15.15
2390,BODIK27L,33.71,0.000000,4.51
768,BODIK37L,239.28,0.000000,10.25
1822,BODIN11L,27.10,0.002992,3.48
4505,BODIN12L,64.06,0.002994,6.15
2815,BODIN13L,52.04,0.002057,5.75
2605,BODIN14L,1101.75,0.000000,31.60
4518,BODIN17L,189.06,0.002993,11.40
4770,BODIN21L,19.63,0.001000,3.48
2901,BODIN22L,19.47,0.008021,3.42
371,BODIN23L,28.00,0.000000,3.48
508,BODIN24L,38.84,0.000000,4.25
3069,BODIN27L,77.51,0.008011,7.00
3240,BODIN31L,17.15,0.002014,3.20
2927,BODIN32L,105.34,0.000000,8.09
