,Cell,MSE,Passed,MAPE
1720,CESBO12L,309.59,0.000000,13.37
1721,KRCVZ23L,57.46,0.010264,5.31
1722,BOACB34L,20.60,0.000000,2.48
1723,BOGOL24L,45.17,0.008019,4.14
1724,GUG0417L,139.54,0.009591,9.11
1725,CREIS32L,94.91,0.000000,6.83
1726,OTOYU22L,57.89,0.008698,6.20
1727,KRUMC12L,90.70,0.010105,7.00
1728,KEMYA82L,247.89,0.002051,12.48
1729,YAKYU27L,32.99,0.000000,4.21
1730,KRCVB21L,7.08,0.002028,2.14
1731,KRYSA31L,20.26,0.004994,3.09
1732,BOSEV37L,120.95,0.000000,8.58
1733,GOLTBH7L,377.15,0.000000,15.07
1734,KRMIR37L,23.22,0.002024,4.08
1735,GOLKI27L,60.23,0.002021,6.48
1736,BOGOL31L,22.49,0.000000,3.76
1737,LIMNI31L,15.54,0.000000,2.63
1738,CESRO36L,140.25,0.002019,11.00
1739,BOGOL14L,88.52,0.002019,6.41
1740,XANDU31L,57.43,0.000000,5.11
1741,ILHOT22L,174.61,0.008023,10.55
1742,KRCVB44L,49.99,0.002053,5.65
1743,CIKOY26L,40.66,0.000000,4.93
1744,BODGA27L,92.85,0.000000,7.96
1745,BODTK27L,89.84,0.000000,7.34
1746,KRIBB31L,2.55,0.000000,1.30
1747,GUMBT27L,47.02,0.000000,5.03
1748,KRTYM23L,114.87,0.000000,8.49
1749,MAVMUO7L,216.00,0.000000,11.04
1750,GUNOR17L,193.61,0.000000,8.78
1751,CESUA12L,542.73,0.001995,18.70
1752,ATMAK33L,31.29,0.008660,4.50
1753,SOGMI31L,7.76,0.000000,2.06
1754,CECAR37L,38.33,0.000000,4.83
1755,BOSAT37L,92.07,0.000000,6.60
1756,KRTFK21L,47.44,0.000000,5.08
1757,TIMUR17L,13.76,0.008049,2.94
1758,ALBTK22L,140.71,0.008018,9.32
1759,YAPAR22L,122.26,0.000000,8.68
1760,GUMYO22L,45.41,0.002021,5.40
1761,KREVA21L,31.59,0.009690,4.03
1762,CASSA13L,102.64,0.000000,7.73
1763,CESDE33L,51.86,0.008036,5.68
1764,SWCBT13L,365.65,0.000000,16.22
1765,KTKAL33L,81.70,0.000000,6.47
1766,YASAH14L,60.82,0.000000,5.43
1767,BOMCA12L,13.89,0.000000,2.57
1768,YASAH15L,30.49,0.002051,4.40
1769,KGIRN17L,93.02,0.000000,7.90
1770,KRKYH11L,25.19,0.000000,4.14
1771,CEVTA42L,15.52,0.008019,3.13
1772,YAHLI27L,98.83,0.008050,7.92
1773,MAVIL32L,62.11,0.008022,5.44
1774,KAROT24L,65.98,0.000000,6.27
1775,TURGZ23L,11.96,0.000000,2.71
1776,GUMJA14L,121.05,0.000000,8.33
1777,KTKAL21L,18.37,0.000000,3.53
1778,GOLIV11L,134.58,0.002017,8.70
1779,CESDE24L,326.70,0.008027,14.31
1780,CEBLY26L,5.89,0.008054,1.64
1781,CREIS27L,54.03,0.000000,5.91
1782,DAYOL27L,123.87,0.000000,9.50
1783,ILIVS24L,244.82,0.002053,11.86
1784,TORVO27L,109.29,0.000000,7.54
1785,BOKOYB4L,38.66,0.000000,5.06
1786,YAGOK14L,45.36,0.010095,5.15
1787,KATAD33L,48.52,0.010075,5.01
1788,ORZUB17L,22.59,0.002829,3.56
1789,ALMET33L,60.06,0.000000,5.23
1790,KRTGE31L,7.43,0.002022,2.23
1791,YORGI14L,210.03,0.008018,11.46
1792,KONTF14L,48.94,0.008018,5.25
1793,BODGA17L,53.92,0.010104,6.15
1794,KRKBM13L,38.89,0.002020,4.80
1795,SENSI77L,348.12,0.000000,13.31
1796,KSKMD27L,15.42,0.004026,2.69
1797,LIMNI27L,166.93,0.000000,9.91
1798,KRCBG14L,36.43,0.002052,4.66
1799,KSYAM23L,20.39,0.000000,3.60
1800,KARNI11L,8.31,0.000000,2.13
1801,BODDM15L,44.77,0.002021,4.79
1802,PAYAL13L,101.02,0.000000,6.76
1803,MVITT22L,44.98,0.000000,5.00
1804,BODGUD7L,13.65,0.000000,3.01
1805,MEYBO27L,81.37,0.000000,7.23
1806,MLTOF11L,8.94,0.001089,2.40
1807,ALAOT22L,171.19,0.002020,10.48
1808,SIFME26L,97.24,0.002049,8.51
1809,ALCHA33L,77.15,0.000000,6.46
1810,PAYAL12L,67.15,0.008051,6.54
1811,TIMUR12L,38.96,0.002049,5.11
1812,OTOYU17L,37.05,0.002048,4.40
1813,GUDEN32L,87.57,0.000000,7.41
1814,CEKOK32L,134.19,0.002016,9.49
1815,BOMLA37L,45.66,0.000000,5.46
1816,BODRA22L,45.68,0.002022,5.29
1817,BOTAN17L,75.99,0.010087,6.45
1818,MANDR27L,239.05,0.000000,10.90
1819,BOGOL23L,89.85,0.008019,6.42
1820,LIMNI37L,159.25,0.000000,9.63
1821,BODIN31L,17.15,0.007623,3.20
1822,CEBLY13L,142.19,0.003171,7.01
1823,ANKOY27L,149.48,0.003554,8.79
1824,KRKBM32L,30.58,0.008024,4.03
1825,KRCPS11L,14.39,0.000000,3.06
1826,GUMJA12L,82.26,0.008041,7.62
1827,KSMED31L,2.85,0.000000,1.19
1828,GUBAI34L,70.74,0.000000,6.40
1829,ALARI13L,162.63,0.000000,9.01
1830,CEPAS36L,206.22,0.000000,10.97
1831,KSBAH23L,32.71,0.002024,4.42
1832,TURYO33L,99.35,0.010043,7.16
1833,C500336L,219.33,0.002017,13.42
1834,SUZER23L,232.91,0.000000,10.51
1835,BOMEY23L,65.69,0.000000,5.96
1836,SWISN12L,8.24,0.003762,2.87
1837,GUKIZA7L,50.14,0.000000,5.70
1838,KONTF11L,12.28,0.010938,2.80
1839,KRDOR33L,76.15,0.000000,6.29
1840,KORYB24L,272.41,0.000000,12.69
1841,SWHLK12L,78.61,0.001148,6.54
1842,KSMED77L,30.68,0.002991,4.50
1843,GBUKU37L,135.22,0.001093,8.33
1844,KSEMA12L,99.07,0.000000,7.72
1845,BODYA32L,126.47,0.002021,8.92
1846,KROGZ33L,131.05,0.002022,8.88
1847,ALCGI23L,325.33,0.008018,12.60
1848,CESDE31L,45.62,0.010030,5.28
1849,KARFT21L,13.07,0.008189,2.39
1850,CEDVI27L,114.94,0.000000,8.25
1851,CERID37L,125.75,0.008023,8.85
1852,YALTV12L,110.30,0.000000,7.14
1853,GOLIV27L,344.31,0.010030,15.13
1854,KRHASF3L,187.63,0.005641,11.11
1855,BOCIR12L,148.51,0.000000,9.62
1856,CEVSL33L,44.51,0.002020,4.52
1857,YAPAR27L,144.10,0.000000,9.93
1858,CESMA34L,104.40,0.000000,6.47
1859,CESIV32L,319.70,0.010044,13.23
1860,KARHS37L,26.83,0.000000,3.97
1861,CEBLY12L,151.91,0.002019,9.61
1862,PAYAL74L,86.17,0.000000,7.89
1863,MUCAM11L,12.24,0.000000,2.44
1864,CESSO22L,195.71,0.000000,11.25
1865,YAHOT23L,71.05,0.000000,6.66
1866,GUNYL37L,173.01,0.000000,10.14
1867,MAGNI27L,260.00,0.002043,11.92
1868,HOLBO21L,167.84,0.000000,10.38
1869,BOCRS12L,366.73,0.000000,15.23
1870,ALCCA27L,89.96,0.000000,7.31
1871,TULIM42L,38.87,0.000000,4.97
1872,CESRT47L,95.72,0.002019,7.57
1873,KRTNE21L,23.19,0.000000,3.57
1874,ALCGI16L,133.46,0.002048,8.87
1875,SWFCA12L,630.01,0.000000,18.88
1876,KORYB31L,54.43,0.002046,5.54
1877,GAZBO12L,30.48,0.002052,4.41
1878,KRKYA33L,30.88,0.000000,3.94
1879,BODDM22L,37.47,0.002835,5.21
1880,BODYA21L,14.23,0.000000,2.55
1881,KRSMT73L,866.59,0.002048,22.09
1882,ALMET21L,12.18,0.004026,2.27
1883,YAHSU32L,60.96,0.000000,6.46
